Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won,Pos_primary,Squad_clean,Stage
454,Raúl Jiménez,FW,mx Mexico,35,1991,3.5,0,0,0,7,2,2,0,0,1,FW,Mexico,Reached Knockouts
455,Kim Jin-gyu,MF,kr Korea Republic,29,1997,0.6,0,0,0,0,1,0,1,0,1,MF,Korea Republic,Group Stage Exit
456,Park Jinseob,DFMF,kr Korea Republic,30,1995,0.4,0,0,0,0,1,0,0,0,0,DFMF,Korea Republic,Group Stage Exit
458,Alistair Johnston,DF,ca Canada,27,1998,5.0,1,0,0,5,4,0,19,6,2,DF,Canada,Reached Knockouts
459,Frenkie de Jong,MF,nl Netherlands,29,1997,3.6,0,0,0,6,6,0,1,8,7,MF,Netherlands,Reached Knockouts
460,Lenny Joseph,FW,ht Haiti,25,2000,1.3,0,0,0,6,1,0,0,0,0,FW,Haiti,Group Stage Exit
461,Edmilson Junior,MFFW,qa Qatar,31,1994,2.3,0,0,0,4,2,1,4,0,1,MFFW,Qatar,Group Stage Exit
462,Vinicius Júnior,FW,br Brazil,25,2000,4.9,0,0,0,4,10,3,12,1,1,FW,Brazil,Reached Knockouts
463,Elijah Just,MF,nz New Zealand,26,2000,2.9,1,0,0,3,2,0,2,2,3,MF,New Zealand,Group Stage Exit
464,Musab Al Juwayr,MFFW,sa Saudi Arabia,22,2003,1.7,0,0,0,1,1,2,7,1,3,MFFW,Saudi Arabia,Group Stage Exit
465,Ayoub El Kaabi,FW,ma Morocco,32,1993,0.8,0,0,0,1,1,3,0,0,2,FW,Morocco,Reached Knockouts
466,Ozan Kabak,DF,tr Türkiye,26,2000,1.0,0,0,0,3,0,0,1,0,2,DF,Türkiye,Group Stage Exit
467,Ferdi Kadioglu,DF,tr Türkiye,26,1999,1.8,0,0,0,0,3,0,4,1,2,DF,Türkiye,Group Stage Exit
468,Kaku,MF,py Paraguay,31,1995,0.1,0,0,0,1,1,0,0,0,0,MF,Paraguay,Reached Knockouts
469,Saa Kalajdi?,FW,at Austria,28,1997,0.9,0,0,0,2,2,0,1,0,0,FW,Austria,Reached Knockouts
470,Gédéon Kalulu,DF,cd Congo DR,28,1997,0.1,0,0,0,0,0,0,0,0,0,DF,Congo DR,Reached Knockouts
471,Daichi Kamada,MF,jp Japan,29,1996,3.7,1,0,0,2,4,1,4,1,3,MF,Japan,Reached Knockouts
472,Hossein Kanaanizadegan,DF,ir IR Iran,32,1994,1.5,1,0,0,1,0,0,0,2,0,DF,IR Iran,Group Stage Exit
473,Harry Kane,FW,eng England,32,1993,7.2,0,0,0,8,9,2,1,1,3,FW,England,Reached Knockouts
474,Lee Kang-in,FW,kr Korea Republic,25,2001,3.0,1,0,0,1,7,0,19,0,0,FW,Korea Republic,Group Stage Exit
475,Mohamed Kanno,MF,sa Saudi Arabia,31,1994,2.5,1,0,0,5,0,0,0,2,4,MF,Saudi Arabia,Group Stage Exit
476,Steve Kapuadi,DF,cd Congo DR,28,1998,2.0,0,0,0,2,0,0,0,1,1,DF,Congo DR,Reached Knockouts
477,Bekhruz Karimov,DF,uz Uzbekistan,18,2007,2.0,0,0,0,8,4,0,2,3,5,DF,Uzbekistan,Group Stage Exit
478,Jesper Karlström,MF,se Sweden,30,1995,1.5,0,0,0,3,0,0,0,1,3,MF,Sweden,Reached Knockouts
479,Gervane Kastaneer,FWMF,cw Curaçao,30,1996,0.3,2,0,0,2,0,0,0,0,0,FWMF,Curaçao,Group Stage Exit
480,Nikola Kati?,DF,ba BosniaHerz,29,1996,3.5,1,0,0,4,0,0,0,5,6,DF,BosniaHerz,Reached Knockouts
481,Edo Kayembe,MF,cd Congo DR,28,1998,1.8,0,0,0,5,3,0,2,0,1,MF,Congo DR,Reached Knockouts
482,Joris Kayembe,DFFW,cd Congo DR,31,1994,0.5,0,0,0,0,1,0,3,4,4,DFFW,Congo DR,Reached Knockouts
483,Franck Kessié,MF,ci Côte d'Ivoire,29,1996,3.8,1,0,0,7,2,1,2,0,4,MF,Côte d'Ivoire,Reached Knockouts
484,Abdullah Al-Khaibari,MF,sa Saudi Arabia,29,1996,2.0,0,0,0,0,2,0,0,1,1,MF,Saudi Arabia,Group Stage Exit
485,Shoja' Khalilzadeh,DF,ir IR Iran,37,1989,3.0,1,0,0,4,0,1,0,3,3,DF,IR Iran,Group Stage Exit
486,Dostonbek Khamdamov,MF,uz Uzbekistan,29,1996,1.1,0,0,0,1,0,1,5,2,4,MF,Uzbekistan,Group Stage Exit
487,Bilal El Khannouss,MFFW,ma Morocco,22,2004,5.1,1,0,0,5,6,0,10,1,7,MFFW,Morocco,Reached Knockouts
488,Rani Khedira,MF,tn Tunisia,32,1994,1.7,1,0,0,3,0,0,0,2,1,MF,Tunisia,Group Stage Exit
489,Boualem Khoukhi,DF,qa Qatar,35,1990,3.0,0,0,0,2,1,0,2,3,3,DF,Qatar,Group Stage Exit
490,Abdukodir Khusanov,DF,uz Uzbekistan,22,2004,3.0,2,0,0,6,0,0,0,5,3,DF,Uzbekistan,Group Stage Exit
491,Joshua Kimmich,DF,de Germany,31,1995,3.9,0,0,0,0,7,0,31,4,4,DF,Germany,Reached Knockouts
492,Justin Kluivert,FWMF,nl Netherlands,27,1999,0.3,0,0,0,0,2,0,1,0,0,FWMF,Netherlands,Reached Knockouts
494,Orkun Kökçü,MF,tr Türkiye,25,2000,1.7,0,0,0,2,4,0,6,0,1,MF,Türkiye,Group Stage Exit
495,Sead Kolainac,DF,ba BosniaHerz,32,1993,3.7,0,0,0,6,4,0,9,2,6,DF,BosniaHerz,Reached Knockouts
496,Ghislain Konan,DF,ci Côte d'Ivoire,30,1995,3.0,0,0,0,0,1,0,8,0,3,DF,Côte d'Ivoire,Reached Knockouts
497,Ibrahima Konaté,DF,fr France,27,1999,0.7,0,0,0,2,1,0,0,3,0,DF,France,Reached Knockouts
498,Ismaël Koné,MF,ca Canada,23,2002,1.6,0,0,0,1,3,0,3,3,2,MF,Canada,Reached Knockouts
499,Manu Koné,MF,fr France,25,2001,4.3,1,0,0,6,7,0,1,3,5,MF,France,Reached Knockouts
500,Ezri Konsa,DF,eng England,28,1997,7.2,0,0,0,8,11,0,3,8,5,DF,England,Reached Knockouts
501,Teun Koopmeiners,DFMF,nl Netherlands,28,1998,1.4,0,0,0,3,0,0,5,1,1,DFMF,Netherlands,Reached Knockouts
502,Odilon Kossounou,DF,ci Côte d'Ivoire,25,2001,3.0,0,0,0,0,1,0,0,3,3,DF,Côte d'Ivoire,Reached Knockouts
503,Kalidou Koulibaly,DF,sn Senegal,34,1991,1.8,0,0,0,0,0,0,0,2,1,DF,Senegal,Reached Knockouts
504,Jules Koundé,DF,fr France,27,1998,6.7,0,0,0,6,5,1,12,3,8,DF,France,Reached Knockouts
505,Mateo Kova?i?,MF,hr Croatia,32,1994,3.0,0,0,0,3,3,0,0,2,3,MF,Croatia,Reached Knockouts
507,Andrej Kramari?,FWMF,hr Croatia,34,1991,0.7,0,0,0,0,0,1,2,0,1,FWMF,Croatia,Reached Knockouts
508,Ladislav Krej?í,DF,cz Czechia,27,1999,3.0,1,0,0,6,2,0,2,1,3,DF,Czechia,Group Stage Exit
509,Takefusa Kubo,MF,jp Japan,25,2001,0.8,0,0,0,1,1,0,0,1,0,MF,Japan,Reached Knockouts
511,Prince Kwabena Adu,FW,gh Ghana,22,2003,0.4,0,0,0,4,0,0,0,0,0,FW,Ghana,Reached Knockouts
512,Maxence Lacroix,DF,fr France,26,2000,2.7,0,0,0,5,0,1,0,3,2,DF,France,Reached Knockouts
513,Gustaf Lagerbielke,DF,se Sweden,26,2000,4.0,0,0,0,1,3,1,1,5,5,DF,Sweden,Reached Knockouts
514,Konrad Laimer,MFDF,at Austria,29,1997,4.0,1,0,0,6,3,3,4,2,6,MFDF,Austria,Reached Knockouts
515,Ali Lajami,DF,sa Saudi Arabia,30,1996,1.7,0,0,0,0,2,0,0,3,2,DF,Saudi Arabia,Group Stage Exit
517,Noa Lang,FWMF,nl Netherlands,26,1999,0.1,0,0,0,0,1,0,0,0,0,FWMF,Netherlands,Reached Knockouts
518,Sondre Langås,DF,no Norway,25,2001,0.3,0,0,0,0,0,0,0,0,0,DF,Norway,Reached Knockouts
519,Aymeric Laporte,DF,es Spain,32,1994,8.1,1,0,0,5,4,0,1,14,3,DF,Spain,Reached Knockouts
520,Cyle Larin,FW,ca Canada,31,1995,2.1,2,0,0,5,1,3,0,0,0,FW,Canada,Reached Knockouts
521,Richie Laryea,DF,ca Canada,31,1995,4.8,1,0,0,8,14,1,2,2,9,DF,Canada,Reached Knockouts
522,Mohanad Lasheen,MF,eg Egypt,30,1996,4.0,2,0,0,5,3,0,1,8,11,MF,Egypt,Reached Knockouts
523,Issa Laye,MFDF,qa Qatar,28,1997,3.0,0,0,0,0,3,0,0,1,1,MFDF,Qatar,Group Stage Exit
524,Rafael Leão,MF,pt Portugal,27,1999,1.8,0,0,0,1,2,0,7,2,0,MF,Portugal,Reached Knockouts
525,Mathew Leckie,MF,au Australia,35,1991,0.7,0,0,0,1,1,0,1,0,0,MF,Australia,Reached Knockouts
526,Jefferson Lerma,MF,co Colombia,31,1994,4.6,1,0,0,6,5,0,1,5,1,MF,Colombia,Reached Knockouts
527,Jamie Leweling,FWMF,de Germany,25,2001,0.3,0,0,0,0,0,0,2,0,0,FWMF,Germany,Reached Knockouts
528,Philipp Lienhart,DF,at Austria,29,1996,2.0,0,0,0,0,0,0,0,1,1,DF,Austria,Reached Knockouts
529,Victor Lindelöf,DFMF,se Sweden,31,1994,4.0,0,0,0,3,0,0,0,4,1,DFMF,Sweden,Reached Knockouts
530,Erik Lira,MF,mx Mexico,26,2000,3.8,0,0,0,3,4,0,2,2,3,MF,Mexico,Reached Knockouts
532,Dailon Livramento,FW,cv Cabo Verde,25,2001,1.9,0,0,0,1,1,2,2,0,0,FW,Cabo Verde,Reached Knockouts
533,Marcos Llorente,DF,es Spain,31,1995,2.1,0,0,0,2,1,0,4,1,6,DF,Spain,Reached Knockouts
534,Giovani Lo Celso,MF,ar Argentina,30,1996,0.7,0,0,0,1,1,1,1,1,0,MF,Argentina,Reached Knockouts
535,Jürgen Locadia,FW,cw Curaçao,32,1993,2.6,0,0,0,3,4,2,0,1,0,FW,Curaçao,Group Stage Exit
536,Azarías Londoño,MF,pa Panama,24,2001,0.6,0,0,0,1,0,0,1,1,0,MF,Panama,Group Stage Exit
537,Sidny Lopes Cabral,DF,cv Cabo Verde,23,2002,3.2,2,0,0,2,9,0,12,4,2,DF,Cabo Verde,Reached Knockouts
538,Flaco López,FW,ar Argentina,25,2000,0.2,1,0,0,1,0,0,0,0,1,FW,Argentina,Reached Knockouts
539,Derrick Luckassen,DF,gh Ghana,30,1995,2.0,0,0,0,1,2,0,0,0,1,DF,Ghana,Reached Knockouts
540,Jhon Lucumí,DF,co Colombia,27,1998,5.3,1,0,0,5,0,0,0,5,2,DF,Colombia,Reached Knockouts
541,José Luis Rodríguez,MFFW,pa Panama,27,1998,2.6,0,0,0,4,2,0,17,0,3,MFFW,Panama,Group Stage Exit
542,Romelu Lukaku,FW,be Belgium,33,1993,2.6,1,0,0,2,0,1,0,0,0,FW,Belgium,Reached Knockouts
543,Dodi Lukebakio,MF,be Belgium,28,1997,1.8,0,0,0,1,2,0,6,0,1,MF,Belgium,Reached Knockouts
544,Jovo Luki?,FW,ba BosniaHerz,27,1998,0.7,1,0,0,1,0,0,0,0,1,FW,BosniaHerz,Reached Knockouts
545,Awer Mabil,FWMF,au Australia,30,1995,0.3,0,0,0,0,1,0,1,0,0,FWMF,Australia,Reached Knockouts
546,Alexis Mac Allister,MF,ar Argentina,27,1998,8.3,1,0,0,9,12,0,2,9,12,MF,Argentina,Reached Knockouts
547,Deiver Machado,DF,co Colombia,32,1993,1.0,0,0,0,1,2,0,1,2,0,DF,Colombia,Reached Knockouts
548,Shuto Machino,FW,jp Japan,26,1999,0.1,0,0,0,1,0,0,1,0,0,FW,Japan,Reached Knockouts
549,Assim Madibo,MF,qa Qatar,29,1996,1.5,0,1,0,2,1,0,0,4,1,MF,Qatar,Group Stage Exit
550,Noni Madueke,MF,eng England,24,2002,3.2,0,0,0,2,3,1,21,2,4,MF,England,Reached Knockouts
551,Daizen Maeda,MF,jp Japan,28,1997,2.7,0,0,0,2,1,1,3,2,3,MF,Japan,Reached Knockouts
552,Gabriel Magalhães,DF,br Brazil,28,1997,5.0,0,0,0,1,3,0,3,4,2,DF,Brazil,Reached Knockouts
553,Ermin Mahmi?,MF,ba BosniaHerz,21,2005,0.8,1,0,0,1,1,0,1,0,1,MF,BosniaHerz,Reached Knockouts
554,Hadj Mahmoud,MF,tn Tunisia,26,2000,0.5,0,0,0,2,0,0,0,0,2,MF,Tunisia,Group Stage Exit
555,Riyad Mahrez,MF,dz Algeria,35,1991,2.9,0,0,0,1,7,1,10,1,2,MF,Algeria,Reached Knockouts
556,Alexandro Maidana,DF,py Paraguay,20,2005,0.6,0,0,0,0,0,0,1,1,0,DF,Paraguay,Reached Knockouts
558,Evidence Makgopa,FW,za South Africa,26,2000,2.4,0,0,0,1,1,2,0,1,1,FW,South Africa,Reached Knockouts
559,Ahmed Maknzi,DF,iq Iraq,24,2001,0.4,0,0,0,0,0,0,0,0,2,DF,Iraq,Group Stage Exit
560,Donyell Malen,FW,nl Netherlands,27,1999,2.1,0,0,0,0,2,0,5,0,0,FW,Netherlands,Reached Knockouts
561,Arjan Malic,DF,ba BosniaHerz,20,2005,0.5,0,0,0,1,1,0,2,0,0,DF,BosniaHerz,Reached Knockouts
562,Mohamed Manai,DF,qa Qatar,23,2002,0.8,0,0,0,3,0,0,0,2,0,DF,Qatar,Group Stage Exit
563,Aïssa Mandi,DF,dz Algeria,34,1991,4.0,0,0,0,0,5,0,0,4,3,DF,Algeria,Reached Knockouts
564,Sadio Mané,MFFW,sn Senegal,34,1992,4.0,0,0,0,4,10,3,13,3,2,MFFW,Senegal,Reached Knockouts
565,Juan Manuel Sanabria,DF,uy Uruguay,26,2000,2.3,1,0,0,1,0,1,15,1,4,DF,Uruguay,Group Stage Exit
566,Johan Manzambi,MFFW,ch Switzerland,20,2005,2.2,0,0,0,3,3,1,3,0,0,MFFW,Switzerland,Reached Knockouts
567,Mahmoud Al-Mardi,MF,jo Jordan,32,1993,1.4,0,0,0,4,2,0,7,0,1,MF,Jordan,Group Stage Exit
568,Jearl Margaritha,FWMF,cw Curaçao,26,2000,0.5,0,0,0,0,0,0,0,0,0,FWMF,Curaçao,Group Stage Exit
569,Omar Marmoush,FWMF,eg Egypt,27,1999,3.6,0,0,0,3,8,0,5,2,3,FWMF,Egypt,Reached Knockouts
570,Marquinhos,DF,br Brazil,32,1994,5.0,0,0,0,0,2,1,1,3,2,DF,Brazil,Reached Knockouts
571,Gabriel Martinelli,MF,br Brazil,24,2001,1.6,0,0,0,4,3,0,2,2,0,MF,Brazil,Reached Knockouts
572,Guillermo Martínez Ayala,FW,mx Mexico,31,1995,0.8,0,0,0,3,1,0,0,0,0,FW,Mexico,Reached Knockouts
573,Cristian Martínez,MFFW,pa Panama,29,1997,2.7,0,0,0,5,5,1,12,1,4,MFFW,Panama,Group Stage Exit
575,Lautaro Martínez,FW,ar Argentina,28,1997,3.4,1,0,0,8,5,2,1,1,1,FW,Argentina,Reached Knockouts
576,Lisandro Martínez,DF,ar Argentina,28,1998,6.9,2,0,0,7,4,0,2,6,7,DF,Argentina,Reached Knockouts
577,Thapelo Maseko,MFFW,za South Africa,22,2003,2.7,0,0,0,4,10,0,2,2,1,MFFW,South Africa,Reached Knockouts
578,Hazem Mastouri,FW,tn Tunisia,28,1997,1.0,0,0,0,2,2,0,1,1,0,FW,Tunisia,Group Stage Exit
579,Arthur Masuaku,DF,cd Congo DR,32,1993,3.5,0,0,0,0,4,0,12,0,5,DF,Congo DR,Reached Knockouts
580,Igor Matanovi?,FW,hr Croatia,23,2003,1.1,0,0,0,4,3,1,0,0,0,FW,Croatia,Reached Knockouts
581,Pape Matar Sarr,MF,sn Senegal,23,2002,0.7,0,0,0,1,0,0,0,1,0,MF,Senegal,Reached Knockouts
582,Jean-Philippe Mateta,FW,fr France,28,1997,0.3,0,0,0,1,0,0,0,0,0,FW,France,Reached Knockouts
583,Mauricio,MF,py Paraguay,25,2001,1.9,0,0,0,3,3,0,11,1,6,MF,Paraguay,Reached Knockouts
584,Fiston Mayele,FW,cd Congo DR,31,1994,0.5,0,0,0,1,1,1,0,0,0,FW,Congo DR,Reached Knockouts
585,Ibrahim Maza,MFFW,dz Algeria,20,2005,3.9,0,0,0,1,5,0,1,0,2,MFFW,Algeria,Reached Knockouts
586,Noussair Mazraoui,DF,ma Morocco,28,1997,5.3,0,0,0,4,6,0,3,2,8,DF,Morocco,Reached Knockouts
587,Kylian Mbappé,FW,fr France,27,1998,7.7,1,0,0,6,8,7,4,0,1,FW,France,Reached Knockouts
588,Thalente Mbatha,MF,za South Africa,26,2000,2.9,1,0,0,4,0,0,4,5,2,MF,South Africa,Reached Knockouts
589,Ibrahim Mbaye,MF,sn Senegal,18,2008,1.7,0,0,0,0,2,0,9,1,0,MF,Senegal,Reached Knockouts
590,Chancel Mbemba,DF,cd Congo DR,31,1994,4.0,1,0,0,1,3,0,4,1,3,DF,Congo DR,Reached Knockouts
591,Mbekezeli Mbokazi,DF,za South Africa,20,2005,4.0,0,0,0,3,5,1,3,4,5,DF,South Africa,Reached Knockouts
592,Nathanaël Mbuku,MFFW,cd Congo DR,24,2002,1.6,1,0,0,4,8,0,14,0,3,MFFW,Congo DR,Reached Knockouts
593,Callum McCowatt,MF,nz New Zealand,27,1999,1.8,1,0,0,4,1,0,3,1,1,MF,New Zealand,Group Stage Exit
594,John McGinn,MF,sct Scotland,31,1994,2.9,0,0,0,2,11,0,10,0,0,MF,Scotland,Group Stage Exit
595,Scott McKenna,DF,sct Scotland,29,1996,1.0,0,0,0,0,0,0,0,0,0,DF,Scotland,Group Stage Exit
596,Weston McKennie,MF,us USA,27,1998,4.9,1,0,0,8,2,0,11,7,7,MF,USA,Reached Knockouts
597,Mark McKenzie,DF,us USA,27,1999,1.0,0,0,0,1,1,0,0,1,1,DF,USA,Reached Knockouts
598,Kenny McLean,MF,sct Scotland,34,1992,1.3,1,0,0,1,1,0,2,2,1,MF,Scotland,Group Stage Exit
599,Scott McTominay,MF,sct Scotland,29,1996,3.0,0,0,0,3,0,0,0,0,2,MF,Scotland,Group Stage Exit
600,Brandon Mechele,DF,be Belgium,33,1993,6.3,1,0,0,9,2,0,0,4,4,DF,Belgium,Reached Knockouts
601,Facundo Medina,DF,ar Argentina,27,1999,3.4,1,0,0,3,2,1,1,2,7,DF,Argentina,Reached Knockouts
602,Yaimar Medina,DFMF,ec Ecuador,21,2004,0.5,0,0,0,1,0,0,4,1,0,DFMF,Ecuador,Reached Knockouts
603,Hannibal Mejbri,MF,tn Tunisia,23,2003,3.0,0,0,0,4,15,0,10,1,4,MF,Tunisia,Group Stage Exit
604,Amar Memi?,MF,ba BosniaHerz,25,2001,2.5,0,0,0,4,3,0,5,2,2,MF,BosniaHerz,Reached Knockouts
605,Memphis,FWMF,nl Netherlands,32,1994,0.6,1,0,0,1,1,0,1,0,0,FWMF,Netherlands,Reached Knockouts
606,Sultan Mendash,MF,sa Saudi Arabia,31,1994,0.7,0,0,0,1,2,0,0,0,3,MF,Saudi Arabia,Group Stage Exit
608,Nuno Mendes,DF,pt Portugal,23,2002,4.4,0,0,0,3,12,1,19,0,6,DF,Portugal,Reached Knockouts
609,Ryan Mendes,FWMF,cv Cabo Verde,36,1990,3.7,0,0,0,1,2,2,3,5,2,FWMF,Cabo Verde,Reached Knockouts
611,Gideon Mensah,DF,gh Ghana,27,1998,4.0,0,0,0,2,3,0,3,8,5,DF,Ghana,Reached Knockouts
612,Mikel Merino,MF,es Spain,29,1996,2.2,0,0,0,6,8,0,1,3,2,MF,Spain,Reached Knockouts
613,Lionel Messi,FW,ar Argentina,38,1987,8.2,0,0,0,3,20,5,54,0,10,FW,Argentina,Reached Knockouts
614,Connor Metcalfe,MF,au Australia,26,1999,3.5,0,0,0,1,0,0,8,2,5,MF,Australia,Reached Knockouts
615,Thomas Meunier,DF,be Belgium,34,1991,2.1,0,0,0,9,0,0,7,2,2,DF,Belgium,Reached Knockouts
616,Liam Millar,MF,ca Canada,26,1999,1.8,1,0,0,3,1,0,10,0,4,MF,Canada,Reached Knockouts
617,Kim Min-jae,DF,kr Korea Republic,29,1996,2.7,0,0,0,2,1,0,0,2,2,DF,Korea Republic,Group Stage Exit
619,Alan Minda,MF,ec Ecuador,23,2003,0.6,0,0,0,0,1,0,2,1,0,MF,Ecuador,Reached Knockouts
620,Aubrey Modiba,DF,za South Africa,30,1995,3.8,1,0,0,4,6,2,11,4,5,DF,South Africa,Reached Knockouts
621,Luka Modri?,MF,hr Croatia,40,1985,3.5,1,0,0,4,3,0,11,0,3,MF,Croatia,Reached Knockouts
622,Relebohile Mofokeng,MF,za South Africa,21,2004,1.9,0,0,0,3,2,0,2,0,2,MF,South Africa,Reached Knockouts
623,Shahriar Moghanlou,FW,ir IR Iran,31,1994,1.0,0,0,0,1,1,1,2,0,2,FW,IR Iran,Group Stage Exit
624,Milad Mohammadi,DF,ir IR Iran,32,1993,2.3,0,0,0,1,1,2,3,2,4,DF,IR Iran,Group Stage Exit
625,Mohammad Mohebi,MF,ir IR Iran,27,1998,2.7,0,0,0,1,1,0,1,1,1,MF,IR Iran,Group Stage Exit
626,Johan Mojica,DF,co Colombia,33,1992,4.3,1,0,0,1,7,1,11,3,3,DF,Colombia,Reached Knockouts
627,Teboho Mokoena,MF,za South Africa,29,1997,3.0,2,0,0,3,6,0,5,5,3,MF,South Africa,Reached Knockouts
628,Nahuel Molina,DF,ar Argentina,28,1998,5.9,0,0,0,3,0,1,5,8,3,DF,Argentina,Reached Knockouts
629,Jamiro Monteiro,MF,cv Cabo Verde,32,1993,3.1,0,0,0,4,2,0,7,4,4,MF,Cabo Verde,Reached Knockouts
630,César Montes,DF,mx Mexico,29,1997,3.5,0,1,0,4,3,0,2,2,1,DF,Mexico,Reached Knockouts
631,Gonzalo Montiel,DF,ar Argentina,29,1997,2.1,1,0,0,4,2,0,4,3,3,DF,Argentina,Reached Knockouts
632,Kim Moon-hwan,MF,kr Korea Republic,30,1995,0.8,0,0,0,0,0,0,0,1,1,MF,Korea Republic,Group Stage Exit
633,Gilberto Mora,MF,mx Mexico,17,2008,2.4,0,0,0,3,3,0,4,2,2,MF,Mexico,Reached Knockouts
634,Diego Moreira,MF,be Belgium,21,2004,0.6,0,0,0,2,1,1,5,1,1,MF,Belgium,Reached Knockouts
635,Steven Moreira,DF,cv Cabo Verde,31,1994,3.3,0,0,0,0,2,0,4,2,3,DF,Cabo Verde,Reached Knockouts
636,Tshepang Moremi,MF,za South Africa,25,2000,0.4,0,0,0,1,1,0,0,0,1,MF,South Africa,Reached Knockouts
638,Samir El Mourabet,MF,ma Morocco,20,2005,0.9,0,0,0,0,1,0,1,1,1,MF,Morocco,Reached Knockouts
639,Samuel Moutoussamy,MF,cd Congo DR,29,1996,3.7,1,0,0,8,1,0,1,1,8,MF,Congo DR,Reached Knockouts
640,Akmal Mozgovoy,MF,uz Uzbekistan,27,1999,2.4,0,0,0,0,3,0,0,2,0,MF,Uzbekistan,Group Stage Exit
642,Khuliso Mudau,DF,za South Africa,31,1995,4.0,0,0,0,4,10,1,3,11,8,DF,South Africa,Reached Knockouts
643,Tarik Muharemovic,DF,ba BosniaHerz,23,2003,2.9,0,1,0,5,2,0,1,8,1,DF,BosniaHerz,Reached Knockouts
644,Miro Muheim,DFMF,ch Switzerland,28,1998,1.0,1,0,0,1,3,0,2,2,1,DFMF,Switzerland,Reached Knockouts
645,Ngal'Ayel Mukau,MF,cd Congo DR,21,2004,2.2,0,0,0,3,4,1,0,3,2,MF,Congo DR,Reached Knockouts
646,Mert Müldür,DF,tr Türkiye,27,1999,1.1,0,0,0,1,2,0,6,1,2,DF,Türkiye,Group Stage Exit
647,Daniel Muñoz,DF,co Colombia,30,1996,4.4,0,0,0,9,1,3,8,7,3,DF,Colombia,Reached Knockouts
648,Petar Musa,FW,hr Croatia,28,1998,1.2,0,0,0,1,1,0,0,0,0,FW,Croatia,Reached Knockouts
649,Jamal Musiala,MF,de Germany,23,2003,3.0,1,0,0,5,11,0,5,1,5,MF,Germany,Reached Knockouts
651,Phillipp Mwene,DF,at Austria,32,1994,1.6,0,0,0,1,1,0,6,3,0,DF,Austria,Reached Knockouts
652,David Møller Wolfe,DF,no Norway,24,2002,4.8,0,0,0,7,2,0,5,3,3,DF,Norway,Reached Knockouts
653,Y?to Nagatomo,DFMF,jp Japan,39,1986,0.2,0,0,0,0,0,0,1,1,0,DFMF,Japan,Reached Knockouts
654,Keito Nakamura,MF,jp Japan,25,2000,3.4,0,0,0,3,1,1,9,1,3,MF,Japan,Reached Knockouts
655,Abdallah Nasib,DF,jo Jordan,32,1994,2.9,0,0,0,1,1,0,0,7,3,DF,Jordan,Group Stage Exit
656,Sherzod Nasrullaev,DFMF,uz Uzbekistan,27,1998,2.0,1,0,0,3,2,0,3,2,2,DFMF,Uzbekistan,Group Stage Exit
657,Duckens Nazon,FWMF,ht Haiti,32,1994,0.3,1,0,0,0,1,0,0,0,0,FWMF,Haiti,Group Stage Exit
658,Iliman Ndiaye,FW,sn Senegal,26,2000,1.3,0,0,0,2,1,0,2,2,0,FW,Senegal,Reached Knockouts
659,Dan Ndoye,MFFW,ch Switzerland,25,2000,4.5,0,0,0,5,16,4,11,4,5,MFFW,Switzerland,Reached Knockouts
661,Ali Nemati,DF,ir IR Iran,30,1996,3.0,1,0,0,3,0,1,2,0,2,DF,IR Iran,Group Stage Exit
663,Pedro Neto,MF,pt Portugal,26,2000,3.9,0,0,0,4,4,0,13,0,2,MF,Portugal,Reached Knockouts
665,João Neves,MF,pt Portugal,21,2004,4.3,0,0,0,1,4,0,2,4,7,MF,Portugal,Reached Knockouts
666,Rúben Neves,MF,pt Portugal,29,1997,0.6,0,0,0,0,0,0,0,0,0,MF,Portugal,Reached Knockouts
667,Neymar,FWMF,br Brazil,34,1992,0.4,1,0,0,1,1,0,7,0,0,FWMF,Brazil,Reached Knockouts
668,Nathan Ngoy,DF,be Belgium,23,2003,3.7,0,1,0,6,1,0,0,7,4,DF,Belgium,Reached Knockouts
669,Moussa Niakhaté,DF,sn Senegal,30,1996,4.3,0,0,0,3,6,0,2,4,1,DF,Senegal,Reached Knockouts
671,Felix Nmecha,MF,de Germany,25,2000,3.0,0,0,0,3,3,0,2,2,9,MF,Germany,Reached Knockouts
673,Tyrese Noslin,MF,cw Curaçao,23,2002,0.2,0,0,0,0,2,0,3,0,0,MF,Curaçao,Group Stage Exit
674,Ernest Nuamah,MF,gh Ghana,22,2003,1.0,0,0,0,2,2,0,1,0,1,MF,Ghana,Reached Knockouts
676,Darwin Núñez,FW,uy Uruguay,26,1999,1.7,0,0,0,1,1,2,1,2,1,FW,Uruguay,Group Stage Exit
677,Antonio Nusa,FW,no Norway,21,2005,3.5,1,0,0,1,5,2,7,2,2,FW,Norway,Reached Knockouts
678,Benjamin Nygren,MF,se Sweden,24,2001,1.4,0,0,0,3,0,0,5,0,0,MF,Sweden,Reached Knockouts
680,Aiden O'Neill,MF,au Australia,27,1998,4.0,0,0,0,2,8,0,10,2,2,MF,Australia,Reached Knockouts
681,Nico O'Reilly,DF,eng England,21,2005,5.1,1,0,0,6,4,0,4,5,3,DF,England,Reached Knockouts
682,Salim Obaid,DF,jo Jordan,34,1992,0.2,0,0,0,1,0,0,0,0,2,DF,Jordan,Group Stage Exit
